ts,npr_item,bom_mpn,npr_desc,primary_label,primary_count,secondary_label,secondary_count,rerank_label,rerank_count,winner_itemnum,winner_desc,winner_seed,winner_score,winner_confidence,winner_notes,config_primary,config_topk_primary,config_rerank_k,config_return_k,dense_model,sparse_model,reranker_model
,,,,,,,,rerank,80,21-10038-0333,CAP MONO 0.033uF/50V 10% X7R 0603 RoHS,,1.0,,,,250,80,25,intfloat/e5-base-v2,naver/splade-cocondenser-ensembledistil,cross-encoder/ms-marco-MiniLM-L-6-v2
,,,,,,,,rerank,80,21-10006-0220,CAP MONO 22pF 50V 5% NP0 0603,,1.0,,,,250,80,25,intfloat/e5-base-v2,naver/splade-cocondenser-ensembledistil,cross-encoder/ms-marco-MiniLM-L-6-v2
,,,,,,,,rerank,80,06-10014-10R0,RES SMD 10 OHM 1% 1/4W 1206 RoHS,,1.0,,,,250,80,25,intfloat/e5-base-v2,naver/splade-cocondenser-ensembledistil,cross-encoder/ms-marco-MiniLM-L-6-v2
,,,,,,,,rerank,80,21-10121-0476,CAP CER 47UF 10V 10% X5R 0805 RoHS,,0.9794087445886984,,,,250,80,25,intfloat/e5-base-v2,naver/splade-cocondenser-ensembledistil,cross-encoder/ms-marco-MiniLM-L-6-v2
,,,,,,,,rerank,80,21-10121-0476,CAP CER 47UF 10V 10% X5R 0805 RoHS,,0.9972611656800333,,,,250,80,25,intfloat/e5-base-v2,naver/splade-cocondenser-ensembledistil,cross-encoder/ms-marco-MiniLM-L-6-v2
,,,,,,,,rerank,80,21-10038-0102,CAP MONO 0.001uF  50V 10% X7R 0603 RoHS,,0.9607576543768431,,,,250,80,25,intfloat/e5-base-v2,naver/splade-cocondenser-ensembledistil,cross-encoder/ms-marco-MiniLM-L-6-v2
,,,,,,,,rerank,80,21-10038-0102,CAP MONO 0.001uF  50V 10% X7R 0603 RoHS,,0.9664264675296912,,,,250,80,25,intfloat/e5-base-v2,naver/splade-cocondenser-ensembledistil,cross-encoder/ms-marco-MiniLM-L-6-v2
,,,,,,,,rerank,80,21-10006-0300,CAP CER 30PF 50V NPO 0603 5%,,1.0,,,,250,80,25,intfloat/e5-base-v2,naver/splade-cocondenser-ensembledistil,cross-encoder/ms-marco-MiniLM-L-6-v2
,,,,,,,,rerank,80,21-10120-0475,CAP CER 4.7UF 10V 10% X5R 0603,,1.0,,,,250,80,25,intfloat/e5-base-v2,naver/splade-cocondenser-ensembledistil,cross-encoder/ms-marco-MiniLM-L-6-v2
,,,,,,,,rerank,80,21-10121-0476,CAP CER 47UF 10V 10% X5R 0805 RoHS,,0.9682134938490389,,,,250,80,25,intfloat/e5-base-v2,naver/splade-cocondenser-ensembledistil,cross-encoder/ms-marco-MiniLM-L-6-v2
,,,,,,,,rerank,80,21-10068-0225,CAP MONO 2.2uF/25V 10% X5R 0603 RoHS,,0.9482383908944689,,,,250,80,25,intfloat/e5-base-v2,naver/splade-cocondenser-ensembledistil,cross-encoder/ms-marco-MiniLM-L-6-v2
,,,,,,,,rerank,80,21-10068-0224,CAP CER 0.22UF 25V X7R 0603,,0.9592031409513605,,,,250,80,25,intfloat/e5-base-v2,naver/splade-cocondenser-ensembledistil,cross-encoder/ms-marco-MiniLM-L-6-v2
,,,,,,,,rerank,80,48-10436-A001,XTAL 12MHz 18pF 2SMD CERAMIC RoHS,,1.0,,,,250,80,25,intfloat/e5-base-v2,naver/splade-cocondenser-ensembledistil,cross-encoder/ms-marco-MiniLM-L-6-v2
,,,,,,,,rerank,80,03-10042-AT02,"Screw #2-28x5/16"" Pan Head Torx Black Oxide",,1.0,,,,250,80,25,intfloat/e5-base-v2,naver/splade-cocondenser-ensembledistil,cross-encoder/ms-marco-MiniLM-L-6-v2
,,,,,,,,rerank,80,15-10117-C00A,Enclosure Bottom,,0.984312228483855,,,,250,80,25,intfloat/e5-base-v2,naver/splade-cocondenser-ensembledistil,cross-encoder/ms-marco-MiniLM-L-6-v2
,,,,,,,,rerank,80,EC-019-002A005,"Vertical eStat30SBD, Hatco  (vert w/ keys, red display)",,0.9090539757218379,,,,250,80,25,intfloat/e5-base-v2,naver/splade-cocondenser-ensembledistil,cross-encoder/ms-marco-MiniLM-L-6-v2
,,,,,,,,rerank,80,EC-019-002A004,"Thin Horizontal, eStat30SBD FWE (w/ keys)",,0.909619040946614,,,,250,80,25,intfloat/e5-base-v2,naver/splade-cocondenser-ensembledistil,cross-encoder/ms-marco-MiniLM-L-6-v2
,,,,,,,,rerank,80,24-10105-A001,IND FIXED 10UH 550MA 10% 500 MOHM 1812 WW RoHS,,1.0,,,,250,80,25,intfloat/e5-base-v2,naver/splade-cocondenser-ensembledistil,cross-encoder/ms-marco-MiniLM-L-6-v2
