anchor_count,anchor_ms,edit_distance_count,edit_distance_ms,final_count,ngram_jaccard_count,ngram_jaccard_ms,npr_mfgpn_norm,npr_mfgpn_raw,npr_partnum,progressive_prefix_count,progressive_prefix_ms,token_overlap_count,token_overlap_ms
0,0.5539000121643767,0,0.5970000056549907,4,0,0.6097000004956499,GRM21BZ71H475KE15L,GRM21BZ71H475KE15L,ROW-1,4,17.369500012136996,0,6.226500001503155
0,0.8526000019628555,0,1.0093000018969178,0,0,0.7888999971328303,GCM21BR71C225KA64L,GCM21BR71C225KA64L,ROW-2,0,9.279699996113777,0,9.747200005222112
0,1.0077000042656437,0,0.9567999950377271,1,0,1.1423999967519194,GRM155R71C104KA88J,GRM155R71C104KA88J,ROW-3,1,5.977699998766184,0,10.370199990575202
0,0.8363999950233847,0,0.8277000015368685,2,0,1.041699986672029,CC0402KRX7R9BB103,CC0402KRX7R9BB103,ROW-4,2,2.651599992532283,0,9.497299994109198
0,0.006199989002197981,0,0.9110000100918114,0,0,1.0661999986041337,B5819W,B5819W,ROW-5,0,0.8870000019669533,0,11.134599990327843
0,0.9951999963959679,0,0.9213000012096018,0,0,1.0501000069780275,QBL8RGB60D02897,QBL8RGB60D0-2897,ROW-7,0,6.899699990754016,0,10.692299998481758
0,0.9781000117072836,0,1.0784000041894615,0,0,1.0151999886147678,OSTOQ043250,OSTOQ043250,ROW-8,0,4.228799996781163,0,10.997899997164495
1,0.833400001283735,1,1.0929999989457428,1,0,1.0258000111207366,OSTTJ0431530,OSTTJ0431530,ROW-9,1,5.350000006728806,0,10.81710000289604
0,0.0051000097300857306,1,1.1067000014008954,2,0,1.0148000001208857,22284045,22284045,ROW-10,2,1.899099996080622,0,10.781799996038899
0,1.0148000001208857,0,0.9686999983387068,12,0,1.083199997083284,RC0402FR07560RL,RC0402FR-07560RL,ROW-13,12,3.788300004089251,0,10.406499990494922
0,1.059500005794689,0,0.9908999927574769,12,0,1.1701000039465725,RC0402FR070RL,RC0402FR-070RL,ROW-14,12,1.8103999900631607,0,10.708900008467026
0,0.8887000003596768,0,1.0597999935271218,16,0,1.0867000091820955,RC0402JR07430RL,RC0402JR-07430RL,ROW-17,16,7.251700008055195,0,10.59799999347888
0,0.9866000036709011,0,1.0082000080728903,0,0,0.9260000078938901,NTCG103JF103FT1,NTCG103JF103FT1,ROW-18,0,6.8909000110579655,0,10.568500001681969
0,0.9880999859888107,0,1.0074000019812956,0,0,1.1089000036008656,TPS73533DRBR,TPS73533DRBR,ROW-19,0,4.884599999058992,0,10.70620000245981
0,0.9651000000303611,0,0.9327000007033348,0,0,1.0802000033436343,MAX3485ESA+T,MAX3485ESA+T,ROW-20,0,4.86040000396315,0,9.850900009041652
0,0.8553999941796064,0,1.1211999953957275,4,0,1.146200011135079,STM32G030F6P6,STM32G030F6P6,ROW-21,4,4.927799993311055,0,10.869200006709434
