ItemNumber,Description,PrimaryVendorNumber,VendorItem,MfgId,MfgName,MfgItemCount,LastCost,StdCost,AvgCost,Revision,ItemLeadTime,DefaultWhse,TotalQty
01-10005-A001,Perlick Refrig UI - Glass& Sensor Assy uses 54-10050-A001,XYM100,10-170603,XYM500,Xymox,1,15.06,15.059929,15.059929,,0,ELANSR,0
01-10006-A001,Perlick Freezer  UI - Glass & Sensor Assy Uses 54-10051-A001,XYM100,10-170604,XYM500,Xymox,1,15.06,15.059947,15.059947,,0,ELANSR,0
01-10007-A001,Perlick WineSingle UI - Glass&Sensor Assy,HOL100,01-10007-A001,HOL500,Holland Interface Solutions,2,37.91,45.359711,38.2734,,0,ELANSR,123
01-10008-A001,Perlick Wine Dual UI - Glass&Sensor Assy,HOL100,01-10008-A001,HOL500,Holland Interface Solutions,2,37.98,34.578903,37.98,,0,ELANSR,58
01-10009-A001,"Assy, Glass/Sensor 24"" AR UI  Glass 54-10043-0001",XYM100,10-170612,XYM500,Xymox,1,12.93,12.93,12.93,,70,ELANSR,42
01-10010-A001,"Assy, Glass/Sensor 24"" AF UI uses glass 54-10042-0001",XYM100,10-170614,XYM500,Xymox,1,13.82,12.307053,12.307053,,70,ELANSR,56
01-10011-A001,"Assy, Glass/Sensor 18"" AF UI  uses 54-10044-0001 glass",XYM100,10-170613,XYM500,Xymox,1,12.83,17.889551,17.889551,,70,ELANSR,0
01-10011-A002,"Assy, Glass/Sensor 18"" AF UI  uses 54-10044-0002 glass",XYM100,01-10011-A002,XYM500,Xymox,1,12.83,12.83,12.83,,0,ELANSR,1
01-10012-000A,"Overlay,Glass,CapTouch Sensor, BlueStarRefUI",HOL100,01-10012-000A,HOL500,Holland Interface Solutions,1,12.99,12.99,12.528194,,90,ELANSR,64
51-10530-AAAA,IC LOAD SWITCH INT 20V SC70-6,something,FDG6324L,something,something,0,0,0,0,,0,ELANSR,0
01-10012-000B,"Overlay,Glass,Cap Touch Sensor, BlueStarRef UI",HOL100,01-10012-000B,HOL500,Holland Interface Solutions,1,8.62,8.62,8.62,,60,ELANSR,0
01-10014-0001,Viking Fridge BM w LOCK key- Glass and Sensor Assy,XYM100,01-10014-0001,XYM500,Xymox,1,9.697,9.697,9.697,,0,ELANSR,7
01-10015-000B,"Perlick Refrigerator UI - Glass and Sensor Assy 30""",HOL100,01-10015-000B,,,1,31,31.256293,31.256293,,42,ELANSR,47
01-10016-A001,"Assy, Glass/Sensor Viking 30"" AF UI uses glass 54-10069-0001",XYM100,01-10016-A001,XYM500,Xymox,1,11.96,12.277172,12.277172,,48,ELANSR,46
01-10017-A001,"Assy, Glass/Sensor Viking 30"" AR UI uses glass 54-10070-0001",XYM100,01-10017-A001,XYM500,Xymox,1,14.69,14.69,14.69,,48,ELANSR,67
01-10018-A001,"Assy, Glass/Sensor Viking 36"" AF UI uses glass 54-10071-0001",XYM100,01-10018-A001,,,1,12.04,12.048476,12.048476,,48,ELANSR,0
01-10019-A001,"Assy, Glass/Sensor Viking 36"" AR UI, uses glass 54-10072-000",XYM100,01-10019-A001,XYM500,Xymox,1,12.04,12.048241,12.048241,,48,ELANSR,53
01-10020-000A,"Changed to B Glass_Sensor Assembly, C&H UI, 14 Key",HOL100,01-10020-000A,HOL500,Holland Interface Solutions,1,32.98,32.98,32.98,,0,ELANSR,0
01-10020-000B,"Glass_Sensor Assembly, C&H UI, 14 Key",HOL100,01-10020-000B,,,1,37.98,37.98,37.82911,,0,ELANSR,88
01-10020-00X1,"Glass_Sensor Assembly, C&H UI, 14 Key",HOL100,01-10020-00X1,HOL500,Holland,1,33.36,0,33.36,,56,ELANSR,0
01-10020-00X2,"Obsolete_Glass_Sensor Assembly, C&H UI, 14 Key",,,,,0,0,0,0,,15,ELANSR,0
01-10020-00X3,"Glass_Sensor Assembly, C&H UI, 14 Key",HOL100,01-10020-00X3,,,1,32.98,32.98,32.98,,0,ELANSR,0
01-10021-00X1,"Do not buy Glass_Sensor Assembly, C&H UI, 12 Key",HOL100,01-10021-00X1,HOL500,Holland Interface Solutions,1,33.36,33.36,33.36,,0,ELANSR,0
01-10022-000A,"changed to B Glass_Sensor Assembly, C&H UI, 7 Key",HOL100,01-10022-000A,HOL500,Holland Interface Solutions,1,32.98,32.98,32.98,,0,ELANSR,0
01-10022-000B,"Glass_Sensor Assembly, C&H UI, 7 Key",HOL100,01-10022-000B,HOL500,Holland Interface Solutions,1,35.95,35.95,35.950975,,0,ELANSR,0
01-10022-00X1,"Do not buy Glass_Sensor Assembly, C&H UI, 7 Key",HOL100,01-10022-00X1,HOL500,Holland Interface Solutions,1,33.36,33.36,33.36,,56,ELANSR,0
01-10022-00X3,"Glass_Sensor Assembly, C&H UI, 7 Key",HOL100,01-10022-00X3,,,1,32.98,32.98,32.98,,0,ELANSR,0
01-10023-00X1,"Glass_Sensor Assembly, C&H UI, 6 Key",HOL100,01-10023-00X1,HOL500,Holland Interface Solutions,1,33.36,33.36,33.36,,56,ELANSR,0
01-10024-000A," Cover, C&H UI Assembly",MOL101,01-10024-000A,MOL500,Ningbo Moldie Mold,1,2.35,2.35,2.35,,15,ELANSR,180
01-10024-00X1,"Housing Cover, C&H UI assembly",MOL101,01-10024-00X1,MOL500,Ningbo Moldie Mold,1,1.88,0,1.88,,20,ELANSR,0
01-10025-000A,"Housing Gasket Assembly, Brewer, Left",MOL101,01-10025-000A,MOL500,Ningbo Moldie Mold,1,0,0,0,,0,ELANSR,0
01-10026-000A,"Housing Gasket Assembly, Brewer, Center",MOL101,01-10026-000A,MOL500,Ningbo Moldie Mold,1,0,0,0,,0,ELANSR,0
01-10027-00X1,"PMMA_Sensor Assembly, WC Grinder",SHE105,0110027X1,SHE500,"Shenzhen Citic Treasure Electronic Co., Ltd",1,2.15,2.15,2.15,,0,ELANSR,0
01-10027-B00A,"PMMA_Sensor Assembly, WC Grinder",HOL100,01-10027-B00A,HOL500,Holland Interface Solutions,1,17.76,6.98,11.749912,,0,ELANSR,47
01-10027-B0X1,"PMMA_Sensor Assembly, WC Grinder",HOL100,01-10027-B0X1SA,HOL500,Holland Interface Solutions,1,6.98,0,6.98,,0,ELANSR,0
01-10028-000ASA,"Switch Asm, SP3T, On-On-On, Spring Return",GRA103,01-10028-000ASA,GRA500,Grayhill,1,20.91,20.915,20.91,,0,ELANSR,0
01-10028-000ASAIN,"Switch Asm, SP3T, On-On-On, Spring Return",,,,,0,30.775,29.345,30.775,B,0,ELANSR,0
01-10028-00X1SA,"Switch Asm, SP3T, On-On-On, Spring Return",GRA103,01-10028-00X1SA,GRA500,Grayhill,1,0,20.915,20.915,,0,ELANSR,0
01-10028-00X1SAIN,"Switch Asm, SP3T, On-On-On, Spring Return",,,,,0,0,20.915,20.915,,0,ELANSR,0
01-10029-00X1,"Assy, Overlay / Membrane, XLT Oven Control",JAS100,,JAS500,"Assy, Overlay / Membrane, XLT Oven Control",1,2.75,2.75,2.75,,0,ELANSR,0
01-10030-000A,"Assembly, IR Transmitter_Harness",NIN102,01-10030-000A,NIN500,"Ningbo Yinzhou Hisea Machinery Co., LTD",1,1.1,0,1.1,,0,ELANSR,0
01-10030-000B,"Assembly, IR Transmitter_Harness",ACC102,01-10030-000B,ACC500,Access Star Co,1,1.35,1.35,1.35,,28,ELANSR,406
01-10031-A00A,"Assy, Temp Sensor, Brewer Control",CHE100,01-10031-0000SA,CHE500,Cheemi Technology,1,1.07,0,1.07,,0,ELANSR,0
01-10031-A00B,"Assy, Temp Sensor, Brewer Control",CHE100,01-10031-A00BSA,CHE500,Cheemi Technology,1,1.31,1.31,1.31,,0,ELANSR,706
01-10032-A001,"Assembly, LED Bar, RGB, 31mm",LIG100,LB-BL3110RGB,LIG500,Light Bo,1,0.55,0.55,0.55,,0,ELANSR,3555
01-10032-A002,"Assembly, LED Bar, RGB, 59mm",LIG100,LB-BL6010RGB,LIG500,Light Bo,1,0.6,0.6,0.6,,0,ELANSR,3725
01-10032-A00A,"Assembly, LED Bar, RGB, 31mm",LIG100,01-10032-A00A,LIG500,Light Bo,1,0.55,0,0.55,,0,ELANSR,0
01-10032-B00A,"Assembly, LED Bar, RGB, 59mm",LIG100,01-10032-B00A,LIG500,Light Bo,1,0.6,0,0.6,,0,ELANSR,0
01-10034-000A,"Assembly, PMMA_Sensor, Vertical Display, OA",UNI108,01-10034-000A,UNI500,Union Tech Circuit Shares,1,1.85,1.85,1.85,,0,ELANSR,0
01-10035-000A,"Assembly, PMMA_Sensor, Horizontal Display, OA",UNI108,XT-1521,UNI500,Union Tech Circuit Shares,1,2.25,2.25,2.25,,0,ELANSR,505
01-10035-00X1,"Assembly, PMMA_Sensor, Horizontal Display, OA",UNI108,01-10035-00X1,UNI500,Union Tech Circuit Shares,1,2.7,0,2.7,,0,ELANSR,0
01-10036-A0X1,"!!!Assembly, LED Bar, White, 48mm x 10.46mm x 5.9mm",LIG100,LBB4810IWH1S-D,LIG500,Light Bo,1,0.4946,0.4946,0.4946,,0,ELANSR,3000
01-10036-B001,DISP WHITE 6000K BAR 48mmx10.46mm x 5.9mm RoHS,LIG100,LBB4810IWH3S-D,LIG500,Light Bo,1,0.518,0,0.518,,0,ELANSR,113
01-10037-A0X1,"Glass, Touch, OLED Display ASM,UI",WIN101,WED0356XXAWPP3D00000,WIN500,WinstarDisplay/Jaystar,1,24.55,0,22.6,,0,ELANSR,0
02-10001-A001,NUT HEX LCK 6-32x5/16x11/64 NYLSST,MCM100,91831A007,MCM500,McMasterCarr,1,0.0488,0.0488,0.0488,,3,ELANSR,0
